s_min s_max xyu
0 1 1.5056100000000001
0 2 1.091055
0 3 0.902765
0 4 1.009045
0 5 1.285955
0 6 1.6242899999999998
0 7 1.98942
0 8 2.373685
1 2 1.075105
1 3 0.834825
1 4 0.916115
1 5 1.243955
1 6 1.646375
1 7 2.04678
1 8 2.461745
2 3 0.900735
2 4 1.00304
2 5 1.3166499999999999
2 6 1.719625
2 7 2.1220100000000004
2 8 2.528485
3 4 0.900435
3 5 1.32626
3 6 1.9381
3 7 2.4936400000000005
3 8 2.94402
4 5 1.2933750000000002
4 6 1.68365
4 7 2.14776
4 8 2.641275
5 6 1.727195
5 7 2.33527
5 8 3.0283550000000004
6 7 2.335625
6 8 2.9379899999999997
7 8 3.984375
